"","Debug","Info","Warning","date","sn","bu","log","time","sw_v_e","keep_5_r","keep_5_v","keep_5_pct","keep_60_r","keep_60_v","keep_60_pct","sw_v_b","test_b","name_b","start_t","end_t","duration","pressure.5.all","pressure.5.p","pressure.5.result","pressure.60.all","pressure.60.p","pressure.60.result","online"
"1",107,291,1,2021-05-03,"BU080321C00060","BU080321C00060","4188_F","210503_154335_0","v1.0.2.1_20210305_",-125,-93,25.6,-93,-92,1.08,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-03 15:42:00,2021-05-03 15:43:35,1.58333333333333,"5s(-125--93) [25.60%]<=[26.00%] | <P>] PASS","25.60%","PASS","60s(-93--92) [1.08%]<=[1.99%] | <P>] PASS","1.08%","PASS","ONLINE"
"2",108,292,1,2021-05-04,"BU080321C00013","BU080321C00013","5404_F","210504_105300_0","v1.0.2.1_20210305_",-125,-94,24.8,-94,-93,1.06,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-04 10:51:48,2021-05-04 10:53:00,1.2,"5s(-125--94) [24.80%]<=[26.00%] | <P>] PASS","24.80%","PASS","60s(-94--93) [1.06%]<=[1.99%] | <P>] PASS","1.06%","PASS","ONLINE"
"3",109,293,1,2021-05-04,"BU080321C00071","BU080321C00071","4728_F","210504_154713_0","v1.0.2.1_20210305_",-126,-94,25.4,-94,-93,1.06,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-04 15:46:01,2021-05-04 15:47:13,1.2,"5s(-126--94) [25.40%]<=[26.00%] | <P>] PASS","25.40%","PASS","60s(-94--93) [1.06%]<=[1.99%] | <P>] PASS","1.06%","PASS","ONLINE"
"4",107,291,1,2021-05-04,"BU080321C00081","BU080321C00081","3204_F","210504_162456_0","v1.0.2.1_20210305_",-125,-94,24.8,-94,-93,1.06,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-04 16:23:44,2021-05-04 16:24:56,1.2,"5s(-125--94) [24.80%]<=[26.00%] | <P>] PASS","24.80%","PASS","60s(-94--93) [1.06%]<=[1.99%] | <P>] PASS","1.06%","PASS","ONLINE"
"5",107,291,1,2021-05-04,"BU080321C00084","BU080321C00084","6884_F","210504_163502_0","v1.0.2.1_20210305_",-125,-94,24.8,-94,-93,1.06,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-04 16:33:50,2021-05-04 16:35:02,1.2,"5s(-125--94) [24.80%]<=[26.00%] | <P>] PASS","24.80%","PASS","60s(-94--93) [1.06%]<=[1.99%] | <P>] PASS","1.06%","PASS","ONLINE"
"6",106,290,1,2021-05-05,"BU080321C00020","BU080321C00020","7148_F","210505_110035_0","v1.0.2.1_20210305_",-125,-93,25.6,-93,-92,1.08,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-05 10:59:22,2021-05-05 11:00:35,1.21666666666667,"5s(-125--93) [25.60%]<=[26.00%] | <P>] PASS","25.60%","PASS","60s(-93--92) [1.08%]<=[1.99%] | <P>] PASS","1.08%","PASS","ONLINE"
"7",108,292,1,2021-05-05,"BU080321C00029","BU080321C00029","2972_F","210505_163325_0","v1.0.2.1_20210305_",-126,-95,24.6,-95,-94,1.05,"v1.0.2.1_20210305_","_OFFLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-05 16:32:13,2021-05-05 16:33:25,1.2,"5s(-126--95) [24.60%]<=[26.00%] | <P>] PASS","24.60%","PASS","60s(-95--94) [1.05%]<=[1.99%] | <P>] PASS","1.05%","PASS","OFFLINE"
"8",106,290,1,2021-05-05,"BU080321C00072","BU080321C00072","6660_F","210505_104108_0","v1.0.2.1_20210305_",-125,-93,25.6,-93,-92,1.08,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-05 10:39:56,2021-05-05 10:41:08,1.2,"5s(-125--93) [25.60%]<=[26.00%] | <P>] PASS","25.60%","PASS","60s(-93--92) [1.08%]<=[1.99%] | <P>] PASS","1.08%","PASS","ONLINE"
"9",108,292,1,2021-05-05,"BU080321C00177","BU080321C00177","6592_F","210505_141545_0","v1.0.2.1_20210305_",-125,-94,24.8,-94,-93,1.06,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-05 14:14:33,2021-05-05 14:15:45,1.2,"5s(-125--94) [24.80%]<=[26.00%] | <P>] PASS","24.80%","PASS","60s(-94--93) [1.06%]<=[1.99%] | <P>] PASS","1.06%","PASS","ONLINE"
"10",115,299,1,2021-05-07,"BU080321C00019","BU080321C00019","7148_F","210507_152729_0","v1.0.2.1_20210305_",-135,-104,22.96,-104,-104,0,"v1.0.2.1_20210305_","_ONLINE TEST START","Firestorm_PA(Waterproof Test)",2021-05-07 15:26:16,2021-05-07 15:27:29,1.21666666666667,"5s(-135--104) [22.96%]<=[26.00%] | <P>] PASS","22.96%","PASS","60s(-104--104) [0.00%]<=[1.99%] | <P>] PASS","0.00%","PASS","ONLINE"
